 1.2100 ; 4.8498 ; 0.8984 
 1.2200 ; 4.8607 ; 0.8607 
 1.2300 ; 4.8714 ; 0.8228 
 1.2400 ; 4.8819 ; 0.7845 
 1.2500 ; 4.8922 ; 0.7460 
 1.2600 ; 4.9023 ; 0.7071 
 1.2700 ; 4.9123 ; 0.6680 
 1.2800 ; 4.9221 ; 0.6286 
 1.2900 ; 4.9317 ; 0.5890 
 1.3000 ; 4.9411 ; 0.5490 
 1.3100 ; 4.9504 ; 0.5088 
 1.3200 ; 4.9595 ; 0.4684 
 1.3300 ; 4.9684 ; 0.4277 
 1.3400 ; 4.9772 ; 0.3867 
 1.3500 ; 4.9858 ; 0.3455 
 1.3600 ; 4.9942 ; 0.3041 
 1.3700 ; 5.0025 ; 0.2624 
 1.3800 ; 5.0107 ; 0.2205 
 1.3900 ; 5.0187 ; 0.1784 
 1.4000 ; 5.0266 ; 0.1360 
 1.4100 ; 5.0343 ; 0.0935 
 1.4200 ; 5.0419 ; 0.0507 
 1.4300 ; 5.0493 ; 0.0077 
 1.4400 ; 5.0566 ; -0.0355 
 1.4500 ; 5.0638 ; -0.0789 
 1.4600 ; 5.0709 ; -0.1225 
 1.4700 ; 5.0778 ; -0.1663 
 1.4800 ; 5.0846 ; -0.2103 
 1.4900 ; 5.0913 ; -0.2545 
 1.5000 ; 5.0978 ; -0.2989 
 1.5100 ; 5.1043 ; -0.3434 
 1.5200 ; 5.1106 ; -0.3882 
 1.5300 ; 5.1168 ; -0.4331 
 1.5400 ; 5.1229 ; -0.4781 
 1.5500 ; 5.1289 ; -0.5234 
 1.5600 ; 5.1348 ; -0.5688 
 1.5700 ; 5.1405 ; -0.6144 
 1.5800 ; 5.1462 ; -0.6601 
 1.5900 ; 5.1518 ; -0.7060 
 1.6000 ; 5.1572 ; -0.7521 
 1.6100 ; 5.1626 ; -0.7983 
 1.6200 ; 5.1679 ; -0.8446 
 1.6300 ; 5.1731 ; -0.8911 
 1.6400 ; 5.1781 ; -0.9378 
 1.6500 ; 5.1831 ; -0.9846 
 1.6600 ; 5.1880 ; -1.0315 
 1.6700 ; 5.1929 ; -1.0785 
 1.6800 ; 5.1976 ; -1.1257 
 1.6900 ; 5.2022 ; -1.1731 
 1.7000 ; 5.2068 ; -1.2205 
 1.7100 ; 5.2113 ; -1.2681 
 1.7200 ; 5.2157 ; -1.3158 
 1.7300 ; 5.2200 ; -1.3636 
 1.7400 ; 5.2242 ; -1.4116 
 1.7500 ; 5.2284 ; -1.4596 
 1.7600 ; 5.2325 ; -1.5078 
 1.7700 ; 5.2365 ; -1.5561 
 1.7800 ; 5.2404 ; -1.6045 
 1.7900 ; 5.2443 ; -1.6530 
 1.8000 ; 5.2481 ; -1.7017 
 1.8100 ; 5.2518 ; -1.7504 
 1.8200 ; 5.2555 ; -1.7992 
 1.8300 ; 5.2591 ; -1.8482 
 1.8400 ; 5.2626 ; -1.8972 
 1.8500 ; 5.2661 ; -1.9463 
 1.8600 ; 5.2695 ; -1.9956 
 1.8700 ; 5.2729 ; -2.0449 
 1.8800 ; 5.2762 ; -2.0943 
 1.8900 ; 5.2794 ; -2.1438 
 1.9000 ; 5.2826 ; -2.1934 
 1.9100 ; 5.2857 ; -2.2431 
